Topic,Question,Answer,Category
FIR,How to file an FIR?,You can file an FIR at any police station. The police are legally obliged to register your complaint under Section 154 of CrPC. You can give the complaint in writing or orally. The police must give you a free copy of the FIR.,Criminal
FIR,What if police refuse to file FIR?,If police refuse to register your FIR you can: 1) Send written complaint by post to Superintendent of Police 2) Approach the Judicial Magistrate under Section 156(3) CrPC 3) File a private complaint under Section 200 CrPC,Criminal
Bail,What is bail?,Bail is the temporary release of an accused person awaiting trial. It can be regular bail anticipatory bail or interim bail. The accused must furnish surety or bond to ensure they appear in court.,Criminal
Bail,When is bail granted?,Bail can be granted depending on: 1) Nature of offense (bailable or non-bailable) 2) Severity of punishment 3) Risk of accused fleeing 4) Criminal history 5) Evidence tampering risk,Criminal
Consumer Rights,What are consumer rights in India?,Under Consumer Protection Act 2019 consumers have rights to: 1) Safety 2) Information 3) Choice 4) Be heard 5) Seek redressal 6) Consumer education. You can file complaints in Consumer Forums.,Consumer
Consumer Rights,Where to file consumer complaint?,File complaint in: 1) District Forum - for claims up to Rs. 1 crore 2) State Commission - Rs. 1 crore to Rs. 10 crore 3) National Commission - above Rs. 10 crore. Can file online on edaakhil portal.,Consumer
Property,What is a lease agreement?,A lease agreement is a contract where the owner (lessor) grants the tenant (lessee) the right to use property for a specified period in exchange for rent. It should be registered if lease exceeds 11 months.,Property
Property,What is stamp duty?,Stamp duty is a tax paid to the state government on property transactions and legal documents. The rate varies by state and type of transaction. Registration of property documents requires payment of stamp duty.,Property
Marriage,What is the legal age of marriage in India?,In India the legal age of marriage is 21 years for males and 18 years for females. Child marriage is prohibited under Prohibition of Child Marriage Act 2006.,Family
Divorce,What are grounds for divorce?,Grounds for divorce under Hindu Marriage Act include: 1) Adultery 2) Cruelty 3) Desertion 4) Conversion 5) Mental disorder 6) Communicable disease 7) Renunciation 8) Not heard alive for 7 years,Family
Employment,What is notice period?,Notice period is the time between resignation/termination and last working day. It's typically 1-3 months as per employment contract. Either party can pay salary in lieu of notice.,Employment
Harassment,What is workplace harassment?,Workplace harassment includes sexual harassment discrimination bullying. Under POSH Act 2013 every organization with 10+ employees must have Internal Complaints Committee (ICC) to address complaints.,Employment
Cheque Bounce,What to do if cheque bounces?,If a cheque bounces: 1) Send legal notice within 30 days under Section 138 of Negotiable Instruments Act 2) If no payment within 15 days file complaint in Magistrate Court within 30 days 3) Punishment: up to 2 years or fine,Banking
Will,What is a will?,A will is a legal document stating how a person's property should be distributed after death. It must be signed by testator and 2 witnesses. Registration is optional but advisable.,Property
Defamation,What is defamation?,Defamation is making false statements that harm someone's reputation. It can be civil (claim damages) or criminal (Section 499 IPC - imprisonment up to 2 years or fine). Truth is a valid defense.,Civil
Dowry,Is dowry illegal?,Yes taking or giving dowry is illegal under Dowry Prohibition Act 1961. Punishment: imprisonment up to 5 years and fine up to Rs. 15000. Dowry death cases fall under Section 304B IPC (minimum 7 years imprisonment).,Criminal
Domestic Violence,What is domestic violence?,Domestic Violence Act 2005 protects women from abuse by husband or relatives. Includes physical emotional sexual economic violence. Woman can get protection order residence order and monetary relief.,Family
Traffic Challan,How to pay traffic challan?,Traffic challans can be paid: 1) Online through Parivahan portal or state traffic police website 2) Mobile apps like Paytm Google Pay 3) At traffic police booth 4) Court if you wish to contest,Traffic
RTI,What is RTI?,Right to Information Act 2005 gives citizens right to access information from public authorities. File RTI application with Rs. 10 fee. Authority must reply within 30 days. Can file appeal if denied.,Administrative
Cyber Crime,How to report cyber crime?,Report cyber crime: 1) File complaint at www.cybercrime.gov.in 2) Visit nearest Cyber Crime Police Station 3) Call National Cyber Crime Helpline 155260 4) Preserve all evidence (screenshots messages emails),Criminal
